27091,203136113
17417,90120953
25950,202870170
33021,203154818
36161,208171631
34016,208042911
34021,207652056
38098,209026630
29906,202139744
34309,208455893
19604,203025446
37722,210401458
38477,10011646
38142,206928388
32889,208085178
8060,90105056
22100,201953026
35111,201701865
35276,208084021
33209,208653765
28272,206160056
34941,208504307
29133,206887553
19628,202778257
36388,208226694
38640,209890560
27103,202985803
31337,203884610
35033,208156877
32986,206179521
21554,206460121
32512,205466519
33455,208033955
27840,203379249
29273,202070807
34174,205817784
37198,209656957
25262,10315184
23658,203065730
34370,207390706
38466,206576716
36021,208226693
21989,204274645
38231,201744288
27853,202985798
27810,204563770
33581,207388759
29238,204206937
34945,208114674
34165,206928452
37749,210399743
36168,208171630
33717,206928604
36722,209656935
29933,202139765
33723,206356234
34033,207390665
35247,208504407
32893,208085182
25136,203087638
37039,208504461
36746,208930717
32579,10388980
22101,201953039
36761,208453648
37421,209896693
17479,90145972
36803,207469300
38751,204389692
38873,210399907
31332,205761272
35277,208085253
28190,208464837
37457,209026634
14061,203025423
36430,208226690
38434,210227285
8552,90138609
37807,207682397
33263,208105573
29880,206728281
36789,208154854
28350,204206935
19631,202812646
33273,206808432
34031,207910213
29272,203900792
38452,208226470
33564,208504179
38221,203343197
37201,209656971
36172,207907535
38108,208893661
33582,207388758
36022,208226697
34946,208114672
33948,207391018
38767,204154429
39176,10380060
37495,206746475
33472,205777549
38957,207535265
37010,210399855
23837,202635467
17596,90139261
35282,207937987
34036,207390682
35305,207637793
36243,206678505
38693,208710842
32990,206812505
29902,205144562
33220,208653767
25990,203915639
33467,207542599
34392,206362747
34156,208289997
34959,207383660
37045,208791919
37462,209026638
28397,203087319
36446,208226698
30591,204849801
36796,208154853
25167,203324800
33275,206808430
19676,90145560
29072,208456130
35035,208156879
38876,210634625
22212,90131741
35666,208289990
17653,10382243
13945,207544306
28366,204254738
37202,209656959
35034,208504369
29338,202143947
33586,207338890
34848,208117930
14070,203162678
27137,204049780
37796,210239335
33276,205865183
32054,206901619
34947,208114673
33026,204230770
39179,10365096
36197,207925440
35306,207543196
14563,202870448
27857,204035273
37825,205505156
19672,203088013
31397,202870172
35680,208156276
9312,90114398
32059,205131849
34836,208653775
33053,10221960
33047,201692665
26059,203870569
39088,205074757
20447,90128026
38653,210571462
34393,206362748
33044,203514305
30593,204860316
28433,203142438
38880,210634626
37052,208941076
34648,207919773
24034,50017228
37805,209085175
37531,204226641
37207,209656962
33591,207388754
27975,10360978
38127,209720586
37468,209310241
35045,207986331
34056,207643190
33955,207391023
20448,10377226
34948,208114675
25318,202049393
38208,207527632
38733,207979206
9071,203024998
32625,201935116
37091,207390618
27964,203136103
33938,208464825
37606,10353206
17872,90145561
35052,207897840
33601,204558176
14715,203021705
35693,208184892
34395,206362749
9314,90138520
39054,207390496
34637,209934620
33045,203514304
25291,203308084
30594,204939361
